spieler;waffe;kills;schaden;kopfschuesse;knocks;weitester_knock_m;meiste_knocks_match;level;tier
Lacan123;AWM;3;620;0;2;0;0;7;0
Lacan123;BluezoneGrenade;3;538;0;4;0;0;8;0
Lacan123;Deagle;3;194;1;2;0;0;4;0
Lacan123;P1911;3;234;0;2;0;0;4;0
Lacan123;MP9;3;408;0;2;0;0;4;0
Lacan123;FAMASG2;2;435;2;1;0;0;5;0
Lacan123;Panzerfaust;2;442;0;2;0;0;6;0
Lacan123;C4;1;191;0;0;0;0;3;0
Lacan123;R1895;1;164;0;1;0;0;2;0
Lacan123;OriginS12;1;288;0;2;0;0;2;0
Lacan123;vz61Skorpion;1;425;4;1;0;0;7;0
Lacan123;Armbrust;0;97;0;0;0;0;1;0
Lacan123;DP-28;0;80;1;1;0;0;2;0
Lacan123;R45;0;123;0;0;0;0;1;0
Thalanthyr;M249;24;2355;6;19;0;0;22;0
Thalanthyr;Dragunov;22;3824;17;21;0;0;25;0
Thalanthyr;M16A4;22;3158;22;15;0;0;21;0
Thalanthyr;RPD;22;2811;13;18;0;0;23;0
Thalanthyr;Kar98k;17;3414;11;13;0;0;23;0
Thalanthyr;VSS;15;2300;10;9;0;0;19;0
Thalanthyr;SKS;14;1865;12;6;0;0;17;0
Thalanthyr;ACE32;12;1602;9;5;0;0;13;0
Thalanthyr;AUG A3;10;1565;5;7;0;0;13;0
Thalanthyr;FNFal;8;1376;4;6;0;0;12;0
Thalanthyr;L6;8;953;3;7;0;0;11;0
Thalanthyr;AKM;7;1250;3;6;0;0;10;0
Thalanthyr;Granate;7;614;0;6;0;0;11;0
Thalanthyr;M416;6;1514;7;4;0;0;11;0
Thalanthyr;MP5K;6;1038;8;10;0;0;10;0
Thalanthyr;Vector;6;778;2;8;0;0;8;0
Thalanthyr;Beryl M762;5;698;5;4;0;0;9;0
Thalanthyr;Tommy Gun;5;861;2;6;0;0;8;0
Thalanthyr;S1897;5;584;2;5;0;0;6;0
Thalanthyr;SCAR-L;4;601;3;4;0;0;6;0
Thalanthyr;UMP45;4;823;5;2;0;0;9;0
Thalanthyr;Micro UZI;4;717;3;6;0;0;6;0
Thalanthyr;M24;3;1422;4;7;0;0;12;0
Thalanthyr;Mini 14;3;331;0;1;0;0;4;0
Thalanthyr;Mk47 Mutant;2;165;1;1;0;0;3;0
Thalanthyr;S12K;2;162;0;2;0;0;2;0
Thalanthyr;Armbrust;1;100;0;0;0;0;2;0
Thalanthyr;MG3;1;170;2;0;0;0;3;0
Thalanthyr;Mk14;1;151;1;0;0;0;2;0
Thalanthyr;Molotow;1;143;0;0;0;0;3;0
Thalanthyr;QBZ95;1;148;0;0;0;0;2;0
Thalanthyr;Win1894;1;239;2;2;0;0;3;0
Thalanthyr;AWM;0;185;0;1;0;0;2;0
Thalanthyr;S686;0;30;1;0;0;0;1;0
Thalanthyr;BluezoneGrenade;0;10;0;0;0;0;1;0
Thalanthyr;DBS;0;139;0;1;0;0;1;0
Thalanthyr;G36C;0;45;0;0;0;0;1;0
Thalanthyr;Groza;0;25;0;0;0;0;1;0
Thalanthyr;K2;0;73;0;0;0;0;1;0
Thalanthyr;Mk12;0;535;4;0;0;0;6;0
Thalanthyr;Mortar;0;30;0;0;0;0;1;0
Thalanthyr;Sawed-off;0;212;0;2;0;0;2;0
real_embo;UMP45;436;55895;193;202;0;0;96;1
real_embo;VSS;346;61080;217;201;0;0;94;1
real_embo;M249;302;44132;202;191;0;0;84;1
real_embo;MP5K;246;32827;146;129;0;0;30;1
real_embo;M24;193;37828;165;112;0;0;62;1
real_embo;Kar98k;174;35762;175;123;0;0;56;1
real_embo;M416;168;24992;90;75;0;0;47;1
real_embo;AUG A3;165;21696;99;74;0;0;73;0
real_embo;Granate;108;20158;0;84;0;0;83;0
real_embo;Mk12;107;23974;104;56;0;0;85;0
real_embo;Dragunov;96;18699;83;44;0;0;69;0
real_embo;JS9;90;11331;63;40;0;0;48;0
real_embo;S12K;84;9757;21;51;0;0;47;0
real_embo;M16A4;80;13474;62;31;0;0;72;0
real_embo;AKM;77;10750;41;49;0;0;56;0
real_embo;Mini 14;76;18224;75;26;0;0;88;0
real_embo;Tommy Gun;69;9092;34;37;0;0;42;0
real_embo;SCAR-L;62;7547;27;18;0;0;81;0
real_embo;RPD;59;8000;32;41;0;0;45;0
real_embo;Mk47 Mutant;57;9240;38;30;0;0;47;0
real_embo;ACE32;56;9737;32;32;0;0;41;0
real_embo;P92;55;10593;69;7;0;0;79;0
real_embo;FNFal;54;9837;40;24;0;0;71;0
real_embo;SKS;53;11034;40;18;0;0;81;0
real_embo;Vector;51;8115;27;19;0;0;55;0
real_embo;S1897;48;5822;11;26;0;0;36;0
real_embo;Beryl M762;45;6721;32;23;0;0;50;0
real_embo;DBS;41;4856;9;12;0;0;36;0
real_embo;G36C;40;4642;24;21;0;0;37;0
real_embo;Mosin Nagant;38;7727;35;15;0;0;46;0
real_embo;PP-19 Bizon;36;3981;8;15;0;0;37;0
real_embo;MP9;33;4349;12;6;0;0;24;0
real_embo;AWM;31;5719;21;23;0;0;41;0
real_embo;Micro UZI;28;3603;25;14;0;0;32;0
real_embo;S686;25;3341;7;11;0;0;24;0
real_embo;MG3;20;2472;10;7;0;0;31;0
real_embo;Mk14;19;2795;11;6;0;0;30;0
real_embo;QBZ95;18;2320;5;11;0;0;24;0
real_embo;L6;16;3281;12;17;0;0;24;0
real_embo;Molotow;14;2884;0;8;0;0;23;0
real_embo;FAMASG2;13;1344;13;6;0;0;15;0
real_embo;Groza;13;1911;8;4;0;0;24;0
real_embo;vz61Skorpion;13;2117;14;2;0;0;41;0
real_embo;P18C;8;2064;19;2;0;0;26;0
real_embo;QBU;8;1357;5;4;0;0;31;0
real_embo;K2;7;1205;5;3;0;0;23;0
real_embo;P1911;7;1428;3;1;0;0;25;0
real_embo;P90;7;1808;8;8;0;0;20;0
real_embo;Sawed-off;7;1176;1;6;0;0;11;0
real_embo;OriginS12;6;1146;3;5;0;0;10;0
real_embo;BluezoneGrenade;5;1140;0;4;0;0;13;0
real_embo;C4;3;510;0;2;0;0;8;0
real_embo;DP-28;3;417;1;1;0;0;23;0
real_embo;StickyGrenade;3;210;0;3;0;0;4;0
real_embo;Panzerfaust;2;250;0;1;0;0;4;0
real_embo;Win1894;2;810;4;1;0;0;21;0
real_embo;Armbrust;1;515;1;0;0;0;7;0
real_embo;Deagle;1;258;0;0;0;0;10;0
real_embo;R45;1;239;0;1;0;0;3;0
real_embo;R1895;0;209;1;0;0;0;4;0
